Date,Confirmed Cases,Deaths,Cases Increase,Deaths Increase
2020-08-09,19844952,726131,0.01140982103991317,0.0063153605867174445
2020-08-10,20071256,731039,0.011403605309803666,0.006759110959317249
2020-08-11,20326357,737475,0.012709767639852654,0.008803907862644733
2020-08-12,20604217,744095,0.013669936034282903,0.008976575477134707
2020-08-13,20890263,750306,0.013882886207226441,0.008347052459699356
2020-08-14,21194896,760437,0.014582535413747433,0.013502490983678728
2020-08-15,21442103,765782,0.011663515593565599,0.007028853146282987
2020-08-16,21653919,769985,0.009878508651880002,0.005488507173059709
2020-08-17,21864546,774126,0.009726969053500234,0.005378026844678807
2020-08-18,22120593,781012,0.011710602177607443,0.008895192772236049
2020-08-19,22395220,787749,0.012414992672212799,0.008625987820929826
2020-08-20,22662582,793786,0.01193835113028574,0.007663608585983583
2020-08-21,22932472,799284,0.011909057846983151,0.006926300035525967
2020-08-22,23197205,804858,0.011544023688331517,0.006973741498641273
2020-08-23,23402855,808715,0.008865292176363448,0.00479214967112207
2020-08-24,23627903,813080,0.00961626263120463,0.00539745151258475
2020-08-25,23871638,819456,0.010315557838543654,0.007841786786048077
2020-08-26,24161043,825747,0.012123382568050012,0.007677044283036505
2020-08-27,24439523,831632,0.011525992483023106,0.0071268802672004306
2020-08-28,24721959,837148,0.011556526696531622,0.006632741404852149
2020-08-29,24982278,842535,0.010529869416901816,0.006434943403078153
2020-08-30,25208093,846446,0.009039007571687518,0.004641943658126868
2020-08-31,25471327,850659,0.010442440052883084,0.004977281480448736
2020-09-01,25734769,857145,0.010342688466918215,0.007624676868169367
2020-09-02,26017919,863160,0.011002624503837488,0.007017482456293855
2020-09-03,26298718,868871,0.01079252341434378,0.006616386301496746
2020-09-04,26611592,874782,0.011896929728665961,0.0068030812399078044
2020-09-05,26873969,879715,0.00985950032602334,0.005639119231991563
2020-09-06,27096474,883492,0.008279573441496435,0.004293435942322121
2020-09-07,27329761,892811,0.008609496571398978,0.01054791667609889
2020-09-08,27571330,897756,0.008839045464027251,0.0055386862393047576
2020-09-09,27856051,903836,0.010326705313091544,0.006772441509719895
2020-09-10,28155066,909636,0.010734292524091193,0.006417093366495763
2020-09-11,28474880,915518,0.01135902149900847,0.006466322792853418
2020-09-12,28752073,920392,0.009734650330396555,0.005323762066939075
2020-09-13,28987878,924049,0.008201321692526298,0.0039733070257022
2020-09-14,29267550,928485,0.009647894889029063,0.004800611222997908
2020-09-15,29551603,935035,0.009705390440949202,0.00705450276525732
2020-09-16,29856431,940788,0.010315108794605843,0.0061527108610908154
2020-09-17,30170401,946247,0.01051599235019074,0.005802582515933352
2020-09-18,30493918,951952,0.010722993042087792,0.006029081201842645
2020-09-19,30773468,957190,0.009167401840590061,0.0055023782711733915
2020-09-20,31016493,960901,0.007897224973149042,0.0038769732237069476
2020-09-21,31314948,965023,0.00962246118540877,0.004289723915366972
2020-09-22,31594705,971005,0.008933656859337669,0.0061988159867691905
2020-09-23,31861932,976616,0.008457967877845363,0.00577854902909869
2020-09-24,32224527,983336,0.011380195023955153,0.006880903036607933
2020-09-25,32552391,989239,0.010174361907623997,0.006003034568041743
2020-09-26,32829296,994526,0.00850644120120081,0.005344512296826087
2020-09-27,33070411,998144,0.007344507174323889,0.003637913940912618
2020-09-28,33346477,1002070,0.008347824887933841,0.003933300205180901
2020-09-29,33631210,1008163,0.008538623135511347,0.006080413543964047
2020-09-30,33958022,1014556,0.009717521314279276,0.006341236486560264
2020-10-01,34275929,1023252,0.009361764357181945,0.008571237073162985
2020-10-02,34571293,1028237,0.008617242730313723,0.004871722703693626
2020-10-03,34889925,1033584,0.009216664242208017,0.005200162997441193
2020-10-04,35138390,1037360,0.007121396792913792,0.0036533073267388527
2020-10-05,35467774,1044369,0.00937390700029228,0.006756574381121316
2020-10-06,35793123,1050154,0.009173087659800627,0.005539229908202881
2020-10-07,36142671,1055972,0.009765786573024071,0.005540139827111101
2020-10-08,36504277,1062229,0.01000496061843359,0.0059253465053996646
2020-10-09,36863764,1068322,0.009847804957210826,0.005736051265781583
2020-10-10,37194016,1073154,0.008958716207059014,0.004522980899017259
2020-10-11,37463712,1077072,0.007251058880008987,0.003650920557534132
2020-10-12,37788975,1081015,0.00868208147660332,0.003660850899475543
2020-10-13,38117827,1086471,0.008702326538362115,0.005047108504507403
2020-10-14,38498419,1092469,0.009984619532482863,0.005520625953200797
2020-10-15,38905825,1098587,0.010582408591895742,0.005600158906110764
2020-10-16,39316452,1104713,0.010554383565956948,0.005576253860640978
2020-10-17,39657491,1110228,0.008674205902404308,0.004992246855065607
2020-10-18,39943386,1113613,0.007209104580014891,0.003048923284226346
2020-10-19,40391895,1118614,0.01122861742367065,0.004490788092452291
2020-10-20,40780581,1125203,0.009622871123031063,0.005890324991462581
2020-10-21,41224618,1131759,0.010888442222046768,0.0058265041952429986
2020-10-22,41696930,1137661,0.011457037637073952,0.005214891156156032
2020-10-23,42192128,1144583,0.011876126132067677,0.00608441354674194
2020-10-24,42603872,1150279,0.00975878723158985,0.004976484885761856
2020-10-25,42957164,1154419,0.008292485715852393,0.0035991268205366467
2020-10-26,43494808,1160063,0.012515816919385081,0.004889039421561936
2020-10-27,43964113,1167477,0.010789908533450632,0.006391032211181535
2020-10-28,44473472,1174558,0.01158579043776009,0.006065215845793892
2020-10-29,45024269,1181617,0.01238484371087556,0.006009920327476381
2020-10-30,45594222,1189160,0.012658795193321248,0.006383625150958361
2020-10-31,46070597,1195706,0.010448144065272169,0.005504726025093332
2020-11-01,46503835,1200630,0.009403785238554674,0.004118069157468485
2020-11-02,47012299,1206744,0.01093380793218457,0.0050923265285724995
2020-11-03,47527406,1215196,0.010956856204798582,0.007003971016222188
2020-11-04,48124956,1226196,0.012572745922636797,0.009052037695976622
2020-11-05,48718666,1234256,0.012336842448229968,0.006573174272302307
2020-11-06,49360625,1243795,0.013176859152916887,0.007728542538987027
2020-11-07,49871731,1251346,0.01035452853362373,0.00607093612693399
2020-11-08,50436669,1257096,0.01132782016329048,0.00459505204795474
2020-11-09,50938470,1264218,0.009949130462997058,0.0056654384390690815
2020-11-10,51494397,1274213,0.010913696465559397,0.007906073161432658
2020-11-11,52139378,1284628,0.012525265612878256,0.008173672690515721
2020-11-12,52786672,1294372,0.012414685882904175,0.007585075212435122
2020-11-13,53435444,1303906,0.012290450892604055,0.0073657341166217805
2020-11-14,54029415,1312896,0.01111567445757533,0.006894668787474023
2020-11-15,54499870,1319144,0.008707386522693206,0.004758945110656221
2020-11-16,55030898,1327007,0.009743656269271872,0.005960683594816052
2020-11-17,55638950,1338106,0.011049283622447836,0.008363934779545223
2020-11-18,56262593,1349380,0.011208748547555158,0.008425341490136073
2020-11-19,56913148,1360381,0.011562833586429289,0.008152633061109471
2020-11-20,57579278,1372182,0.011704325334455312,0.008674775669463175
2020-11-21,58158829,1380436,0.010065270356464096,0.0060152370458146365
