Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum,Rank
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,-0.09167123163933866,356
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,-0.5436669601040194,482
MRK,Merck & Co-,Health Care,Pharmaceuticals,-0.045914523405372165,326
MRO,Marathon Oil Corp-,Energy,Oil & Gas Exploration & Production,-0.8718390006688423,501
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,0.14456942258402705,187
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,0.4406263210767065,37
MSFT,Microsoft Corp-,Information Technology,Systems Software,0.3672014309413498,53
MSI,Motorola Solutions Inc-,Information Technology,Communications Equipment,0.05064524554472882,258
MTB,M&T Bank Corp-,Financials,Regional Banks,-0.3219895678048488,446
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,0.4885151572016184,27
MU,Micron Technology,Information Technology,Semiconductors,0.19409437323338352,149
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,0.3395071280829143,68
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.972695658550947,502
NDAQ,"Nasdaq, Inc-",Financials,Financial Exchanges & Data,0.19441154145170003,148
NEE,NextEra Energy,Utilities,Multi-Utilities,0.2883300796565891,89
NEM,Newmont Corporation,Materials,Gold,0.5579811303177848,14
NFLX,Netflix Inc-,Communication Services,Movies & Entertainment,0.4926082848178339,26
NI,NiSource Inc-,Utilities,Multi-Utilities,-0.07969689479796216,349
NKE,"Nike, Inc-",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.3211858519134694,74
NLOK,NortonLifeLock,Information Technology,Application Software,-0.22637067121104337,414
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,-0.2732933728839271,433
NOC,Northrop Grumman,Industrials,Aerospace & Defense,-0.13470972616778454,378
NOV,National Oilwell Varco Inc-,Energy,Oil & Gas Equipment & Services,-0.7076140583085362,492
NOW,ServiceNow,Information Technology,Systems Software,0.6699733871646458,6
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,-0.21376555622555315,409
NSC,Norfolk Southern Corp-,Industrials,Railroads,0.2249109060066985,122
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",-0.23245184883126058,416
NTRS,Northern Trust Corp-,Financials,Asset Management & Custody Banks,-0.1599550803002785,389
