Date,USA_StringencyIndex,USA_StringencyIndex_LogChange,USA_StringencyIndex_Cumulative,USA_StringencyLegacyIndex,USA_StringencyLegacyIndex_LogChange,USA_StringencyLegacyIndex_Cumulative,USA_GovernmentResponseIndex,USA_GovernmentResponseIndex_LogChange,USA_GovernmentResponseIndex_Cumulative,USA_ContainmentHealthIndex,USA_ContainmentHealthIndex_LogChange,USA_ContainmentHealthIndex_Cumulative,USA_EconomicSupportIndex,USA_EconomicSupportIndex_LogChange,USA_EconomicSupportIndex_Cumulative
2020-05-30,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-05-31,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-01,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-02,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-03,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-04,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-05,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-06,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-07,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-08,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-09,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-10,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
