Symbol,S&P 500 Log Return,Predicted S&P 500 Log Return,Actual - Predicted,Return Beta,Constant,R2,Return p value
AIZ,-0.052311415285021035,0.05194217411240272,-0.10425358939742352,0.7286802554732519,5.494481556491127e-05,0.17,0.0006979211120415711
AJG,0.0617595702029341,0.433311422694079,-0.37155185249114503,0.3673249939157567,0.0021932696401333477,0.08,0.02475310665142464
AKAM,-0.010093660077643528,0.3128949152769729,-0.32298857535461634,0.823937676338717,0.0014140559914460505,0.19,0.00032676537052789365
ALB,0.3154985038241733,0.5899681223475608,-0.274469618523387,1.6455667472215065,0.0026382722419823743,0.2,0.00023097923254511316
ALGN,0.500693324419526,-0.16815626048947957,0.6688495849090054,1.682154383320988,-0.0014054180942016607,0.28,7.926652842453277e-06
ALK,-0.37792096925234464,-0.4395254277599677,0.061604458507623465,1.1246731704676398,-0.0026795310543067208,0.31,2.202121617261852e-06
ALL,-0.250659361565023,0.18119633840608976,-0.43185569997111295,0.8186073972924274,0.0007151507677832261,0.31,2.345206470423838e-06
ALLE,-0.1402195315028827,0.1587818918123649,-0.29900142331524765,0.6884033876124791,0.0006354756561960837,0.13,0.003840284132886142
ALXN,0.21338778192009578,-0.4179034317286045,0.6312912136487002,1.4583238369865488,-0.002665869902680622,0.18,0.0005390279362925954
AMAT,0.07705984568417179,-0.2062513105036178,0.2833111561877892,2.4259640974284475,-0.0018339903960893293,0.48,2.9157670390431366e-10
AMCR,0.14682667021339224,-0.12068547838656163,0.2675121485999541,0.8994518038390501,-0.0009151608105744589,0.15,0.0017173831833887008
AMD,0.3239026426629436,0.8372244913617456,-0.5133218486988019,2.2862700393890165,0.0037588461631577765,0.32,1.2138925809559615e-06
AME,0.15761021550309096,-0.11589270044449851,0.2735029159475894,0.9429200604549128,-0.0009028711945220493,0.45,1.68245229927994e-09
